unique_pair_id,grid_id,binder_num,binder_DNA_broadest_cat,microhabitat,distance_bridged,bind_length,bind_width,bind_thickness,bind_thickness_10th_mm,bind_length_x_thickness,bind_length_x_thickness_10th_mm,bind_length_x_width,bind_length_x_widthhalf,experiment
1,1,1,Turf algae,Topside,NA,0.2,0.9,0.05,0.05,0.01,0.01,0.18,0.09,main
2,1,1,Other macroalgae,Topside,NA,1.2,0.7,0.2,0.2,0.24,0.24,0.84,0.42,main
3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
8,1,1,Turf algae,Topside,NA,0.7,0.5,0.1,0.1,0.07,0.07,0.35,0.175,main
8,1,2,Colonial ascidian,Underside,NA,2.7,0.4,0.1,0.1,0.27,0.27,1.08,0.54,main
9,1,1,Turf algae,Topside,NA,1.9,0.8,0.1,0.1,0.19,0.19,1.52,0.76,main
10,1,1,Turf algae,Topside,NA,1.2,0.6,0.2,0.2,0.24,0.24,0.72,0.36,main
11,2,1,Turf algae,Topside,NA,0.05,0.3,0.05,0.05,0.0025,0.0025,0.015,0.0075,main
12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
13,2,1,Lobophora,Topside,NA,1.6,1.3,0.005,0.01,0.008,0.016,2.08,1.04,main
14,2,1,Lobophora,Topside,NA,1.3,2.7,0.005,0.01,0.0065,0.013,3.51,1.755,main
15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
16,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
17,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
20,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
21,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
22,3,1,Lobophora,Topside,NA,0.8,1.1,0.005,0.01,0.004,0.008,0.88,0.44,main
23,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
24,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
25,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
26,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
27,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
28,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
29,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
30,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
31,4,1,Sponge,Underside,NA,0.5,0.7,0.2,0.2,0.1,0.1,0.35,0.175,main
31,4,2,Turf algae,Topside,NA,1.5,0.5,0.2,0.2,0.3,0.3,0.75,0.375,main
