unique_pair_id,grid_id,contact_length,number,side2,experiment,,,
1,1,0.7,1,topside,main,,,
1,1,1.5,2,topside,main,,,
1,1,0.5,3,topside,main,,,
1,1,NA,4,topside,main,,,
1,1,0.7,1,underside,main,,,
1,1,1.5,2,underside,main,,,
1,1,0.5,3,underside,main,,,
1,1,NA,4,underside,main,,,
2,1,1.3,1,topside,main,,,
2,1,3.1,2,topside,main,,,
2,1,1,3,topside,main,,,
2,1,NA,4,topside,main,,,
2,1,1.3,1,underside,main,,,
2,1,3.2,2,underside,main,,,
2,1,0.7,3,underside,main,,,
2,1,NA,4,underside,main,,,
3,1,4,1,topside,main,,,
3,1,1.5,2,topside,main,,,
3,1,NA,3,topside,main,,,
3,1,NA,4,topside,main,,,
3,1,3.8,1,underside,main,,,
3,1,1.5,2,underside,main,,,
3,1,NA,3,underside,main,,,
3,1,NA,4,underside,main,,,
4,1,1.1,1,topside,main,,,
4,1,1.5,2,topside,main,,,
4,1,1.9,3,topside,main,,,
4,1,NA,4,topside,main,,,
4,1,1.1,1,underside,main,,,
4,1,1.5,2,underside,main,,,
4,1,1.9,3,underside,main,,,
4,1,NA,4,underside,main,,,
5,1,5.9,1,topside,main,,,
5,1,NA,2,topside,main,,,
5,1,NA,3,topside,main,,,
5,1,NA,4,topside,main,,,
5,1,5.9,1,underside,main,,,
5,1,NA,2,underside,main,,,
5,1,NA,3,underside,main,,,
5,1,NA,4,underside,main,,,
6,1,2.8,1,topside,main,,,
6,1,3.5,2,topside,main,,,
6,1,NA,3,topside,main,,,
6,1,NA,4,topside,main,,,
6,1,2.6,1,underside,main,,,
6,1,2.9,2,underside,main,,,
6,1,NA,3,underside,main,,,
6,1,NA,4,underside,main,,,
7,1,5.4,1,topside,main,,,
7,1,0.7,2,topside,main,,,
7,1,NA,3,topside,main,,,
7,1,NA,4,topside,main,,,
7,1,4.9,1,underside,main,,,
7,1,0.4,2,underside,main,,,
7,1,NA,3,underside,main,,,
7,1,NA,4,underside,main,,,
8,1,1.9,1,topside,main,,,
8,1,0.7,2,topside,main,,,
8,1,NA,3,topside,main,,,
8,1,NA,4,topside,main,,,
8,1,4.9,1,underside,main,,,
8,1,NA,2,underside,main,,,
8,1,NA,3,underside,main,,,
8,1,NA,4,underside,main,,,
9,1,7.8,1,topside,main,,,
9,1,NA,2,topside,main,,,
9,1,NA,3,topside,main,,,
9,1,NA,4,topside,main,,,
9,1,8.9,1,underside,main,,,
9,1,NA,2,underside,main,,,
9,1,NA,3,underside,main,,,
9,1,NA,4,underside,main,,,
10,1,7.8,1,topside,main,,,
10,1,NA,2,topside,main,,,
10,1,NA,3,topside,main,,,
10,1,NA,4,topside,main,,,
10,1,7.8,1,underside,main,,,
10,1,NA,2,underside,main,,,
10,1,NA,3,underside,main,,,
10,1,NA,4,underside,main,,,
11,2,2.7,1,topside,main,,,
11,2,NA,2,topside,main,,,
11,2,NA,3,topside,main,,,
11,2,NA,4,topside,main,,,
11,2,2.7,1,underside,main,,,
11,2,NA,2,underside,main,,,
11,2,NA,3,underside,main,,,
11,2,NA,4,underside,main,,,
12,2,0.8,1,topside,main,,,
12,2,1.3,2,topside,main,,,
12,2,0.9,3,topside,main,,,
12,2,NA,4,topside,main,,,
12,2,0.8,1,underside,main,,,
12,2,1.3,2,underside,main,,,
12,2,0.9,3,underside,main,,,
12,2,NA,4,underside,main,,,
13,2,8.6,1,topside,main,,,
13,2,NA,2,topside,main,,,
13,2,NA,3,topside,main,,,
13,2,NA,4,topside,main,,,
13,2,8.6,1,underside,main,,,
13,2,NA,2,underside,main,,,
13,2,NA,3,underside,main,,,
13,2,NA,4,underside,main,,,
14,2,6.7,1,topside,main,,,
14,2,NA,2,topside,main,,,
14,2,NA,3,topside,main,,,
14,2,NA,4,topside,main,,,
14,2,6.7,1,underside,main,,,
14,2,NA,2,underside,main,,,
14,2,NA,3,underside,main,,,
14,2,NA,4,underside,main,,,
15,2,1.2,1,topside,main,,,
15,2,1.5,2,topside,main,,,
15,2,NA,3,topside,main,,,
15,2,NA,4,topside,main,,,
15,2,1.2,1,underside,main,,,
15,2,1.5,2,underside,main,,,
15,2,NA,3,underside,main,,,
