unique_pair_id,grid_id,gap_length,max_gap_span,number,side2,experiment
1,1,3.2,NA,1,topside,main
1,1,1.2,NA,2,topside,main
1,1,NA,NA,3,topside,main
1,1,NA,NA,4,topside,main
1,1,3.2,NA,1,underside,main
1,1,1.2,NA,2,underside,main
1,1,NA,NA,3,underside,main
1,1,NA,NA,4,underside,main
2,1,2.7,NA,1,topside,main
2,1,1.4,NA,2,topside,main
2,1,1,NA,3,topside,main
2,1,NA,NA,4,topside,main
2,1,2.9,NA,1,underside,main
2,1,3.6,NA,2,underside,main
2,1,NA,NA,3,underside,main
2,1,NA,NA,4,underside,main
3,1,3.2,NA,1,topside,main
3,1,NA,NA,2,topside,main
3,1,NA,NA,3,topside,main
3,1,NA,NA,4,topside,main
3,1,2.9,NA,1,underside,main
3,1,0.6,NA,2,underside,main
3,1,NA,NA,3,underside,main
3,1,NA,NA,4,underside,main
4,1,4.7,NA,1,topside,main
4,1,1.8,NA,2,topside,main
4,1,1.5,NA,3,topside,main
4,1,NA,NA,4,topside,main
4,1,4.7,NA,1,underside,main
4,1,1.8,NA,2,underside,main
4,1,1.5,NA,3,underside,main
4,1,NA,NA,4,underside,main
5,1,0.7,NA,1,topside,main
5,1,NA,NA,2,topside,main
5,1,NA,NA,3,topside,main
5,1,NA,NA,4,topside,main
5,1,0.7,NA,1,underside,main
5,1,NA,NA,2,underside,main
5,1,NA,NA,3,underside,main
5,1,NA,NA,4,underside,main
6,1,1.8,NA,1,topside,main
6,1,1.9,NA,2,topside,main
6,1,NA,NA,3,topside,main
6,1,NA,NA,4,topside,main
6,1,2,NA,1,underside,main
6,1,1.4,NA,2,underside,main
6,1,NA,NA,3,underside,main
6,1,NA,NA,4,underside,main
7,1,1.7,NA,1,topside,main
7,1,1.9,NA,2,topside,main
7,1,NA,NA,3,topside,main
7,1,NA,NA,4,topside,main
7,1,2.1,NA,1,underside,main
7,1,1.7,NA,2,underside,main
7,1,1.2,NA,3,underside,main
7,1,NA,NA,4,underside,main
8,1,4.3,NA,1,topside,main
8,1,1.9,NA,2,topside,main
8,1,NA,NA,3,topside,main
8,1,NA,NA,4,topside,main
8,1,7.2,NA,1,underside,main
8,1,2.4,NA,2,underside,main
8,1,NA,NA,3,underside,main
8,1,NA,NA,4,underside,main
9,1,1,NA,1,topside,main
9,1,NA,NA,2,topside,main
9,1,NA,NA,3,topside,main
9,1,NA,NA,4,topside,main
9,1,0.7,NA,1,underside,main
9,1,NA,NA,2,underside,main
9,1,NA,NA,3,underside,main
9,1,NA,NA,4,underside,main
10,1,0.8,NA,1,topside,main
10,1,0.3,NA,2,topside,main
10,1,NA,NA,3,topside,main
10,1,NA,NA,4,topside,main
10,1,0.8,NA,1,underside,main
10,1,0.3,NA,2,underside,main
10,1,NA,NA,3,underside,main
10,1,NA,NA,4,underside,main
11,2,3.9,NA,1,topside,main
11,2,1.4,NA,2,topside,main
11,2,NA,NA,3,topside,main
11,2,NA,NA,4,topside,main
11,2,3.9,NA,1,underside,main
11,2,1.4,NA,2,underside,main
11,2,NA,NA,3,underside,main
11,2,NA,NA,4,underside,main
12,2,1.5,NA,1,topside,main
12,2,0.8,NA,2,topside,main
12,2,2.9,NA,3,topside,main
12,2,NA,NA,4,topside,main
12,2,1.5,NA,1,underside,main
12,2,0.8,NA,2,underside,main
12,2,2.9,NA,3,underside,main
12,2,NA,NA,4,underside,main
13,2,NA,NA,1,topside,main
13,2,NA,NA,2,topside,main
13,2,NA,NA,3,topside,main
13,2,NA,NA,4,topside,main
13,2,NA,NA,1,underside,main
13,2,NA,NA,2,underside,main
13,2,NA,NA,3,underside,main
13,2,NA,NA,4,underside,main
14,2,2.7,NA,1,topside,main
14,2,NA,NA,2,topside,main
14,2,NA,NA,3,topside,main
14,2,NA,NA,4,topside,main
14,2,2.7,NA,1,underside,main
14,2,NA,NA,2,underside,main
14,2,NA,NA,3,underside,main
14,2,NA,NA,4,underside,main
15,2,1.2,NA,1,topside,main
15,2,1.1,NA,2,topside,main
15,2,2.1,NA,3,topside,main
15,2,NA,NA,4,topside,main
15,2,1.2,NA,1,underside,main
15,2,1.1,NA,2,underside,main
15,2,2.1,NA,3,underside,main
15,2,NA,NA,4,underside,main
16,2,4.1,NA,1,topside,main
16,2,NA,NA,2,topside,main
16,2,NA,NA,3,topside,main
16,2,NA,NA,4,topside,main
16,2,4.1,NA,1,underside,main
16,2,NA,NA,2,underside,main
16,2,NA,NA,3,underside,main
16,2,NA,NA,4,underside,main
