unique_pair_id,grid_id,turf_height_cm,break_force,force_type,bound,total_binds,experiment,
1,1,0.2,0.05,tensile,Yes,1,main,
2,1,0.2,3.95,tensile,Yes,1,main,
3,1,0.2,0,tensile,No,0,main,
4,1,0.25,NA,tensile,No,0,main,
5,1,0.2,NA,tensile,No,0,main,
6,1,0.1,NA,tensile,No,0,main,
7,1,0.2,NA,tensile,No,0,main,
8,1,0.3,0.25,tensile,Yes,1,main,
9,1,0.1,1.25,tensile,Yes,1,main,
10,1,0.2,0.05,tensile,Yes,1,main,
11,2,0.1,0.05,tensile,Yes,1,main,
12,2,0.6,NA,tensile,No,0,main,
13,2,0.05,0.05,tensile,Yes,1,main,
14,2,0.4,0.05,tensile,Yes,1,main,
15,2,0.4,NA,tensile,No,0,main,
16,2,0.4,NA,tensile,No,0,main,
17,2,0.4,NA,tensile,No,0,main,
18,2,0.05,NA,tensile,No,0,main,
19,2,0.6,NA,tensile,No,0,main,
20,2,0.2,NA,tensile,No,0,main,
21,3,0.05,NA,tensile,No,0,main,
22,3,0.05,0.45,tensile,Yes,1,main,
23,3,0.05,NA,tensile,No,0,main,
24,3,0.05,NA,tensile,No,0,main,
25,3,0.05,NA,tensile,No,0,main,
26,3,0.05,NA,tensile,No,0,main,
27,3,0.05,NA,tensile,No,0,main,
28,3,0.05,NA,tensile,No,0,main,
29,3,0.05,NA,tensile,No,0,main,
30,3,0.05,NA,tensile,No,0,main,
31,4,0.1,1.35,tensile,Yes,2,main,
32,4,0.15,1.05,tensile,Yes,1,main,
33,4,0.7,1.8,tensile,Yes,2,main,
34,4,NA,1.15,tensile,Yes,2,main,
35,4,NA,3.05,tensile,Yes,3,main,
36,4,0.7,1.5,tensile,Yes,2,main,
37,4,0.4,0.65,tensile,Yes,1,main,
38,4,0.3,1.25,tensile,Yes,3,main,
39,4,0.05,4.7,tensile,Yes,3,main,
40,4,0.4,5.4,tensile,Yes,3,main,
41,5,0.1,NA,tensile,No,0,main,
42,5,0.1,0.05,tensile,Yes,1,main,
43,5,0.1,0.05,tensile,Yes,1,main,
44,5,0.1,NA,tensile,No,0,main,
45,5,0.1,NA,tensile,No,0,main,
46,5,0.1,0.05,tensile,Yes,1,main,
47,5,0.1,0.25,tensile,Yes,1,main,
48,5,0.1,NA,tensile,No,0,main,
49,5,0.1,0.2,tensile,Yes,1,main,
50,5,0.1,0.05,tensile,Yes,1,main,
51,6,0.25,0.6,tensile,Yes,2,main,
52,6,0.3,0.5,tensile,Yes,1,main,
53,6,0.2,0.05,tensile,Yes,1,main,
