unique_pair_id,grid_id,original_grid_id,pair_in_grid,piece_num,experiment,axial_length,max_span,width_1,width_2,width_3,num_branches,branch_length_1,branch_length_2,branch_length_3,branch_length_4,branch_length_5,branch_length_6,branch_length_7,branch_length_8,
1,1,1,1,1A,main,9.2,9.2,1.1,1,0.8,1,3.9,NA,NA,NA,NA,NA,NA,NA,
1,1,1,1,1B,main,10.1,10.1,2.9,0.7,1.4,1,1.2,NA,NA,NA,NA,NA,NA,NA,
2,1,1,2,2A,main,13.2,13.2,1,1.3,1.3,1,1.2,NA,NA,NA,NA,NA,NA,NA,
2,1,1,2,2B,main,12.7,12.7,1.4,1.4,1.8,1,1.6,NA,NA,NA,NA,NA,NA,NA,
3,1,1,3,3A,main,9.3,9.3,2,1.7,1.9,2,1.2,1.2,NA,NA,NA,NA,NA,NA,
3,1,1,3,3B,main,16.1,16.1,1,1.7,1.6,1,6.7,NA,NA,NA,NA,NA,NA,NA,
4,1,1,4,4A,main,3.7,3.7,1.3,1.3,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,
4,1,1,4,4B,main,13.9,13.9,1,1.4,1.8,2,1.2,3.2,NA,NA,NA,NA,NA,NA,
5,1,1,5,5A,main,7.9,7.9,1.2,1.2,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,
5,1,1,5,5B,main,8.1,8.1,1.7,1.8,1.2,2,2.1,3.2,NA,NA,NA,NA,NA,NA,
6,1,1,6,6A,main,9.5,9.5,1.2,1.9,1.8,0,NA,NA,NA,NA,NA,NA,NA,NA,
6,1,1,6,6B,main,10.5,10.5,1.3,1.4,2.2,2,1.9,4,NA,NA,NA,NA,NA,NA,
7,1,1,7,7A,main,14.6,14.6,1.6,2.2,1.6,4,5.1,3.1,1.7,1.7,NA,NA,NA,NA,
7,1,1,7,7B,main,12.4,12.4,1,1.3,1.4,2,5.8,3.2,NA,NA,NA,NA,NA,NA,
8,1,1,8,8A,main,14.7,14.7,0.9,1.5,1.6,1,1.4,NA,NA,NA,NA,NA,NA,NA,
8,1,1,8,8B,main,14.5,14.5,1.1,1.4,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,
9,1,1,9,9A,main,10,10,1.6,1.4,1.9,1,1.3,NA,NA,NA,NA,NA,NA,NA,
